h3_08,municipio,operator,variable,median
88499580d1fffff,Xochimilco,AT&T,m_download_mbps,61.35
88499580d1fffff,Xochimilco,Telcel,m_download_mbps,9.017
88499580d3fffff,Xochimilco,ALTAN Redes,m_download_mbps,7.87
88499580d3fffff,Xochimilco,AT&T,m_download_mbps,19.445500000000003
88499580d3fffff,Xochimilco,Movistar,m_download_mbps,40.2835
88499580d3fffff,Xochimilco,Telcel,m_download_mbps,63.008
88499580d5fffff,Xochimilco,ALTAN Redes,m_download_mbps,5.965
88499580d5fffff,Xochimilco,Telcel,m_download_mbps,24.5205
88499580d7fffff,Xochimilco,ALTAN Redes,m_download_mbps,22.879
88499580d7fffff,Xochimilco,AT&T,m_download_mbps,57.32
88499580d7fffff,Xochimilco,Movistar,m_download_mbps,24.234
88499580d7fffff,Xochimilco,Telcel,m_download_mbps,15.743
88499580d9fffff,Xochimilco,ALTAN Redes,m_download_mbps,0.3205
88499580d9fffff,Xochimilco,Movistar,m_download_mbps,2.881
88499580d9fffff,Xochimilco,Telcel,m_download_mbps,29.887
88499580dbfffff,Xochimilco,ALTAN Redes,m_download_mbps,7.4185
88499580dbfffff,Xochimilco,Telcel,m_download_mbps,25.332
88499580ddfffff,Xochimilco,Telcel,m_download_mbps,47.616
88499580e5fffff,Xochimilco,Telcel,m_download_mbps,30.532
8849958103fffff,Milpa Alta,ALTAN Redes,m_download_mbps,6.1195
8849958103fffff,Milpa Alta,Telcel,m_download_mbps,24.946
8849958111fffff,Milpa Alta,ALTAN Redes,m_download_mbps,50.694
8849958111fffff,Milpa Alta,Telcel,m_download_mbps,29.771
8849958111fffff,Tláhuac,AT&T,m_download_mbps,2.654
8849958111fffff,Tláhuac,Telcel,m_download_mbps,26.681
8849958113fffff,Milpa Alta,ALTAN Redes,m_download_mbps,15.954
8849958113fffff,Milpa Alta,Telcel,m_download_mbps,49.746
8849958115fffff,Milpa Alta,ALTAN Redes,m_download_mbps,14.0505
8849958115fffff,Milpa Alta,AT&T,m_download_mbps,4.465
8849958115fffff,Milpa Alta,Movistar,m_download_mbps,6.107
8849958115fffff,Milpa Alta,Telcel,m_download_mbps,7.9115
8849958115fffff,Tláhuac,ALTAN Redes,m_download_mbps,1.21
8849958115fffff,Tláhuac,Movistar,m_download_mbps,1.449
8849958115fffff,Tláhuac,Telcel,m_download_mbps,51.928
8849958117fffff,Tláhuac,ALTAN Redes,m_download_mbps,4.264
8849958117fffff,Tláhuac,Telcel,m_download_mbps,26.4485
8849958119fffff,Milpa Alta,Movistar,m_download_mbps,24.118
8849958119fffff,Milpa Alta,Telcel,m_download_mbps,28.0265
884995811bfffff,Milpa Alta,ALTAN Redes,m_download_mbps,15.753499999999999
884995811bfffff,Milpa Alta,AT&T,m_download_mbps,20.383
884995811bfffff,Milpa Alta,Movistar,m_download_mbps,19.877
884995811bfffff,Milpa Alta,Telcel,m_download_mbps,3.627
884995811dfffff,Milpa Alta,ALTAN Redes,m_download_mbps,12.585
884995811dfffff,Milpa Alta,Movistar,m_download_mbps,0.557
8849958131fffff,Tláhuac,ALTAN Redes,m_download_mbps,27.476
8849958131fffff,Tláhuac,Telcel,m_download_mbps,48.4925
8849958133fffff,Tláhuac,ALTAN Redes,m_download_mbps,33.8425
8849958133fffff,Tláhuac,Telcel,m_download_mbps,37.365
8849958135fffff,Tláhuac,ALTAN Redes,m_download_mbps,16.762
8849958135fffff,Tláhuac,Telcel,m_download_mbps,22.38
8849958137fffff,Tláhuac,ALTAN Redes,m_download_mbps,17.6825
8849958137fffff,Tláhuac,Telcel,m_download_mbps,80.472
8849958139fffff,Tláhuac,ALTAN Redes,m_download_mbps,18.864
8849958139fffff,Tláhuac,Telcel,m_download_mbps,54.761
884995813bfffff,Tláhuac,ALTAN Redes,m_download_mbps,4.52
884995813bfffff,Tláhuac,Telcel,m_download_mbps,24.326
884995815bfffff,Milpa Alta,ALTAN Redes,m_download_mbps,2.429
884995815bfffff,Milpa Alta,Telcel,m_download_mbps,1.416
884995815dfffff,Milpa Alta,ALTAN Redes,m_download_mbps,11.219000000000001
8849958181fffff,Tláhuac,ALTAN Redes,m_download_mbps,20.951
8849958181fffff,Tláhuac,AT&T,m_download_mbps,32.0155
8849958181fffff,Tláhuac,Telcel,m_download_mbps,24.978
8849958183fffff,Tláhuac,ALTAN Redes,m_download_mbps,5.6925
8849958183fffff,Tláhuac,AT&T,m_download_mbps,4.355
8849958183fffff,Tláhuac,Movistar,m_download_mbps,1.027
8849958183fffff,Tláhuac,Telcel,m_download_mbps,42.632
8849958185fffff,Tláhuac,ALTAN Redes,m_download_mbps,5.7695
8849958187fffff,Tláhuac,ALTAN Redes,m_download_mbps,4.965
8849958189fffff,Tláhuac,ALTAN Redes,m_download_mbps,9.850999999999999
8849958189fffff,Tláhuac,AT&T,m_download_mbps,52.4105
8849958189fffff,Tláhuac,Movistar,m_download_mbps,21.840000000000003
8849958189fffff,Tláhuac,Telcel,m_download_mbps,37.86
884995818bfffff,Tláhuac,ALTAN Redes,m_download_mbps,5.636
884995818bfffff,Tláhuac,Movistar,m_download_mbps,7.548
884995818bfffff,Tláhuac,Telcel,m_download_mbps,22.203
884995818bfffff,Xochimilco,ALTAN Redes,m_download_mbps,5.237
884995818bfffff,Xochimilco,AT&T,m_download_mbps,16.533
